image_url,Cluster,Sentiment
https://media.rtm.com/thegreatexchange/large/9f489078-aeae-4acc-b00f-64a38ca1baae.jpeg,60,Negative
https://media.rtm.com/thegreatexchange/large/9f48ee0b-46ba-4303-b098-7bb6f4510666.jpeg,52,Positive
https://media.rtm.com/thegreatexchange/large/0d24728d-e6d3-44fb-9039-62f5c0fde89c.jpeg,97,Positive
https://media.rtm.com/thegreatexchange/large/f5158ea9-efc4-486f-ab62-aa3ae94b84e0.jpeg,34,Positive
https://media.rtm.com/thegreatexchange/large/dd36b189-6cd2-4cb2-9c18-cf7f677f3114.jpeg,47,Positive
https://media.rtm.com/thegreatexchange/large/3e06b2b3-603d-4619-b9a3-e6c87e1a1679.jpeg,93,Positive
https://media.rtm.com/thegreatexchange/large/344421c9-275c-4104-9067-ba221be299d3.jpeg,32,Positive
https://media.rtm.com/thegreatexchange/large/fcecbda5-533b-42ad-91df-7c7347919bf2.jpeg,34,Positive
https://media.rtm.com/thegreatexchange/large/366866c8-3406-42ca-9984-0c928684820c.jpeg,1,Positive
https://media.rtm.com/thegreatexchange/large/61c30d50-8371-42ce-8e1d-86b9160fb7e5.jpeg,19,Positive
https://media.rtm.com/thegreatexchange/large/484e3d42-ceec-488b-80a1-4b3b5c113a20.jpeg,75,Negative
https://media.rtm.com/thegreatexchange/large/0007d4ba-ce05-4e3c-bc8d-43c2aa45b2cf.jpeg,23,Positive
https://media.rtm.com/thegreatexchange/large/2d5d8d83-21f4-48ce-8ea4-a7bace68f505.jpeg,76,Positive
https://media.rtm.com/thegreatexchange/large/97520444-f8f6-4cfa-ad72-92b88d2de7a6.jpeg,19,Negative
https://media.rtm.com/thegreatexchange/large/5c77834c-a0cc-4e31-8ae3-a69f40ec6759.jpeg,61,Positive
https://media.rtm.com/thegreatexchange/large/e7d1e63b-88dd-4159-b025-82a0a83f8ff5.jpeg,42,Positive
https://media.rtm.com/thegreatexchange/large/a20d27bd-6209-49ae-b740-e09cb4649769.jpeg,29,Negative
https://media.rtm.com/thegreatexchange/large/5b7639ef-6d17-4a25-b090-fde825a950d4.jpeg,23,Positive
https://media.rtm.com/thegreatexchange/large/633975b9-d1de-44c4-abec-f7968eec9574.jpeg,15,Negative
https://media.rtm.com/thegreatexchange/large/062fd308-efcf-4afc-a0b3-19af79889384.jpeg,85,Positive
https://media.rtm.com/thegreatexchange/large/a386d924-4872-47a7-a29a-762b3abb3dea.jpeg,3,Negative
https://media.rtm.com/thegreatexchange/large/9887ead6-88bb-494b-bd14-12826e1799b7.jpeg,55,Positive
https://media.rtm.com/thegreatexchange/large/44f8001a-2c27-4bef-9a2c-385ca383a5a5.jpeg,25,Negative
https://media.rtm.com/thegreatexchange/large/51704eb2-1977-4fd9-9276-67185899bf69.jpeg,67,Positive
https://media.rtm.com/thegreatexchange/large/e51fa7b2-6792-4da5-b837-63d753feacef.jpeg,49,Positive
https://media.rtm.com/thegreatexchange/large/4c000d28-43a7-4376-87fc-ff59bb2f3220.jpeg,46,Positive
https://media.rtm.com/thegreatexchange/large/d6c74198-95f3-43e9-9c72-7efe5ec2bb4f.jpeg,70,Neutral
https://media.rtm.com/thegreatexchange/large/2493d554-be58-40e1-9335-cb289013041f.jpeg,43,Positive
https://media.rtm.com/thegreatexchange/large/5a34157e-6c21-4f35-b953-cb3984fb80af.jpeg,63,Positive
https://media.rtm.com/thegreatexchange/large/a429ae9d-f288-441a-bbb6-f7d640271109.jpeg,3,Negative
https://media.rtm.com/thegreatexchange/large/85b23955-27f5-4bb2-8737-7141fd13ae6b.jpeg,7,Positive
https://media.rtm.com/thegreatexchange/large/752aef40-536e-42ac-af15-ded6efa36a56.jpeg,28,Positive
https://media.rtm.com/thegreatexchange/large/27ff4311-17af-41d8-937e-e9dc37e095ad.jpeg,7,Positive
https://media.rtm.com/thegreatexchange/large/a6eb4975-d245-47bc-a9ff-80a049cb4f83.jpeg,32,Positive
https://media.rtm.com/thegreatexchange/large/959f2957-503b-4569-965d-84c8919bb34b.jpeg,45,Negative
https://media.rtm.com/thegreatexchange/large/36770512-a3f2-4ad4-a9b2-66dc63a943e8.jpeg,33,Positive
https://media.rtm.com/thegreatexchange/large/ceb16ca0-b2d5-4563-afc5-3ec95fb4a548.jpeg,61,Positive
https://media.rtm.com/thegreatexchange/large/91cb0185-31e8-46e1-b25c-70818dfd7c9c.jpeg,31,Neutral
https://media.rtm.com/thegreatexchange/large/e7e911a9-2bde-4201-9dd2-5b4a32203580.jpeg,49,Positive
https://media.rtm.com/thegreatexchange/large/4146a07e-6294-4dc3-a1ba-cb9efe62fc35.jpeg,41,Positive
https://media.rtm.com/thegreatexchange/large/2666080d-f888-4761-a4b2-534017032240.jpeg,17,Positive
https://media.rtm.com/thegreatexchange/large/c3ee0b09-11a8-499b-be25-4501fbb78279.jpeg,92,Positive
https://media.rtm.com/thegreatexchange/large/fe8b32ab-f98e-4b36-9468-3644bc7a379a.jpeg,27,Positive
https://media.rtm.com/thegreatexchange/large/a04a2c42-5f2e-4a90-8d4e-da6d84388814.jpeg,11,Positive
https://media.rtm.com/thegreatexchange/large/aee50b70-3ab7-4fa1-8ea5-560193d4a96b.jpeg,3,Neutral
https://media.rtm.com/thegreatexchange/large/7aa87910-a556-45e3-a0c9-dc362fcc321d.jpeg,94,Positive
https://media.rtm.com/thegreatexchange/large/3d4a9a0f-15c0-48e7-b4b5-4a3fca5beb5c.jpeg,82,Negative
https://media.rtm.com/thegreatexchange/large/7f100934-6bcc-4620-8956-ad7ddb5c9a10.jpeg,99,Positive
https://media.rtm.com/thegreatexchange/large/3d6f9d52-539c-43bc-bff2-d884da8873ac.jpeg,53,Positive
https://media.rtm.com/thegreatexchange/large/3c9b5f6a-4862-4c3d-b2e6-a8c8310aa0e0.jpeg,84,Positive
https://media.rtm.com/thegreatexchange/large/7492249a-e083-440d-a1fb-25a814418e9a.jpeg,83,Positive
https://media.rtm.com/thegreatexchange/large/bd6487aa-7cab-4dec-ae20-7b72dd013fe8.jpeg,3,Positive
https://media.rtm.com/thegreatexchange/large/b779d96e-c1e1-4e68-8239-1da72242687e.jpeg,32,Positive
https://media.rtm.com/thegreatexchange/large/df55bd36-6336-4918-a8cf-6bb1314dabdb.jpeg,83,Neutral
https://media.rtm.com/thegreatexchange/large/8f99bcfa-58ea-4ad5-936c-d1a5fbbdcff8.jpeg,59,Negative
https://media.rtm.com/thegreatexchange/large/a04022dc-f5ae-4721-a62b-f8fa88fa7e5a.jpeg,22,Positive
https://media.rtm.com/thegreatexchange/large/9560ac9a-4dbc-4492-a2d6-0f983992643b.jpeg,3,Positive
https://media.rtm.com/thegreatexchange/large/c65ca7aa-9a00-4851-b3d7-70a0aaddb02c.jpeg,15,Positive
https://media.rtm.com/thegreatexchange/large/6a251473-f426-47b5-a967-55f941cde8c8.jpeg,20,Negative
https://media.rtm.com/thegreatexchange/large/0120d551-4f04-4ab0-a77f-c76da7f49600.jpeg,87,Negative
https://media.rtm.com/thegreatexchange/large/540d0b90-fbb8-46ae-b164-7bb9b5cffd96.jpeg,33,Neutral
https://media.rtm.com/thegreatexchange/large/c63989e1-489d-4121-af63-baf9e8d8cef6.jpeg,43,Negative
https://media.rtm.com/thegreatexchange/large/9989ccc3-1b17-447c-923f-92abed81b3e5.jpeg,3,Positive
https://media.rtm.com/thegreatexchange/large/26d0214b-ea70-46ae-8b78-77f541099479.jpeg,48,Neutral
https://media.rtm.com/thegreatexchange/large/789ad3fb-000f-4f3b-bbf7-1ef8328767c9.jpeg,47,Negative
https://media.rtm.com/thegreatexchange/large/ac7f360a-e628-4eef-a2f2-2356a2154b23.jpeg,16,Positive
https://media.rtm.com/thegreatexchange/large/8f0ea6ba-2059-48ee-85cf-c453ddfd4eb8.jpeg,45,Negative
https://media.rtm.com/thegreatexchange/large/3fc67d91-ee79-42e9-9a94-0ab1c834b351.jpeg,27,Positive
https://media.rtm.com/thegreatexchange/large/dd7ed656-d2e8-4752-8a38-adc21f05f979.jpeg,80,Positive
https://media.rtm.com/thegreatexchange/large/4710d18c-9a0f-43f9-a419-ad49272508d2.jpeg,81,Positive
https://media.rtm.com/thegreatexchange/large/a916b580-975e-474e-aefd-7c54ea54279b.jpeg,59,Positive
https://media.rtm.com/thegreatexchange/large/83f764d1-7db5-46af-89b0-4e7826216f24.jpeg,88,Positive
https://media.rtm.com/thegreatexchange/large/cd98ee4b-6ec0-4c98-912d-ecc0914efceb.jpeg,68,Negative
https://media.rtm.com/thegreatexchange/large/ba73f172-5485-4cee-b202-d5fdf9a20013.jpeg,12,Negative
https://media.rtm.com/thegreatexchange/large/d78e931c-35b1-4d1d-8653-ed71f2ec1057.jpeg,68,Neutral
https://media.rtm.com/thegreatexchange/large/be32dc80-ff3d-429f-8461-17f37b61a8fd.jpeg,4,Positive
https://media.rtm.com/thegreatexchange/large/f12a0191-6180-49dc-be5c-bd4175d29c7d.jpeg,38,Positive
https://media.rtm.com/thegreatexchange/large/e4e015df-b132-46ad-a1e3-e9fe0e3eaf70.jpeg,26,Positive
https://media.rtm.com/thegreatexchange/large/a70975a3-a841-461f-a07d-672a80998b26.jpeg,80,Positive
https://media.rtm.com/thegreatexchange/large/69f8ac44-6df8-4053-b839-b9cb15b805ce.jpeg,92,Positive
https://media.rtm.com/thegreatexchange/large/93bc3046-5ae3-409e-9748-d80917b7e2e8.jpeg,29,Positive
https://media.rtm.com/thegreatexchange/large/340239f4-4b94-4cfb-bfb7-8be80292ac5a.jpeg,64,Negative
https://media.rtm.com/thegreatexchange/large/689553fa-58d9-4bb7-9425-0874c73b5eb1.jpeg,40,Negative
https://media.rtm.com/thegreatexchange/large/333405da-cf6c-4962-9c45-37c15f36aeb8.jpeg,80,Negative
https://media.rtm.com/thegreatexchange/large/e916012b-8e74-4e8e-a9c8-442864302efc.jpeg,71,Negative
https://media.rtm.com/thegreatexchange/large/203f2aad-23e9-4b37-900b-4729d7d20e94.jpeg,14,Positive
https://media.rtm.com/thegreatexchange/large/8e3a7412-1a78-4ac6-92b4-c4b69601443a.jpeg,34,Negative
https://media.rtm.com/thegreatexchange/large/1c1c0db3-925a-4bff-8c54-8265a57f7df9.jpeg,6,Positive
https://media.rtm.com/thegreatexchange/large/627316d4-05b8-44d5-a57e-761ce3815601.jpeg,69,Negative
https://media.rtm.com/thegreatexchange/large/f02fc7d9-93e3-4ae9-9467-20ee3d725f42.jpeg,10,Positive
https://media.rtm.com/thegreatexchange/large/7de4c947-8adf-40a7-8ffc-137b47341181.jpeg,52,Positive
https://media.rtm.com/thegreatexchange/large/18caecf9-c352-4ca1-9a4c-8e2bf913fc51.jpeg,42,Positive
https://media.rtm.com/thegreatexchange/large/ebc906af-a40a-4f6a-912c-46662ea58336.jpeg,27,Positive
https://media.rtm.com/thegreatexchange/large/1c845d65-e2ff-4c22-849c-893d7f1c8d7e.jpeg,98,Positive
https://media.rtm.com/thegreatexchange/large/32d5f2a2-0f6c-4102-8ce9-c93f9b1db70f.jpeg,46,Negative
