Text,image_url,image_data,category
These were his holy grail and he wore them everywhere. When he moved out I hid them and told him he must have lost it somewhere. I use them now as my spare. ,https://media.rtm.com/thegreatexchange/large/9f489078-aeae-4acc-b00f-64a38ca1baae.jpeg,https://media.rtm.com/thegreatexchange/large/9f489078-aeae-4acc-b00f-64a38ca1baae.jpeg,TREASURE
I don’t know why I still held on to this. It’s cheesy and we only dated for 3 months happy to trade it in. We met on an app and if I could take that swipe back I would. The most rushed and possibly awkward three months and this is my souvenir.  He didn’t have a particular reason for getting and just chucked it at me. Fun times. I guess I held on to it as a lesson to not waste my time. ,https://media.rtm.com/thegreatexchange/large/9f48ee0b-46ba-4303-b098-7bb6f4510666.jpeg,https://media.rtm.com/thegreatexchange/large/9f48ee0b-46ba-4303-b098-7bb6f4510666.jpeg,CLOTHING
"I still have a sweatshirt from my ex we made for our one year anniversary. We had a running joke about whether the ""waffling"" (intertwined fingers) or ""pancaking"" (full hands) handholding style was better. He preferred ""pancakes"" and I preferred ""waffles"" so for our anniversary we made sweatshirts with the corresponding food patch and our initials and a heart embroidered on the sleeve.",https://media.rtm.com/thegreatexchange/large/0d24728d-e6d3-44fb-9039-62f5c0fde89c.jpeg,https://media.rtm.com/thegreatexchange/large/0d24728d-e6d3-44fb-9039-62f5c0fde89c.jpeg,ANNIVERSARY
"Christmas present from 1st long term BF. Kept it cause “I’ll take it to Goodwill someday”. That day has never come. It stares at me from my bookshelf while I sleep. It knows that we are bonded somehow like twin flames. At this point to give it away would be to give away a piece of myself. 
The giver and I have been broken up for almost 4 years.",https://media.rtm.com/thegreatexchange/large/f5158ea9-efc4-486f-ab62-aa3ae94b84e0.jpeg,https://media.rtm.com/thegreatexchange/large/f5158ea9-efc4-486f-ab62-aa3ae94b84e0.jpeg,CHRISTMAS
I receieved this druzy quartz necklace from an ex. It quickly became one of my favorites as it is my style. However I don't even want to look or wear it now and it's been sitting in my junk drawer since. Would love to exchange it and get it out of my life!,https://media.rtm.com/thegreatexchange/large/dd36b189-6cd2-4cb2-9c18-cf7f677f3114.jpeg,https://media.rtm.com/thegreatexchange/large/dd36b189-6cd2-4cb2-9c18-cf7f677f3114.jpeg,JEWELARY
This was from my ex and it was in storage for a few years with my dads stuff so when he emptied storage my kid claimed it! Lol i couldnt tell her no,https://media.rtm.com/thegreatexchange/large/3e06b2b3-603d-4619-b9a3-e6c87e1a1679.jpeg,https://media.rtm.com/thegreatexchange/large/3e06b2b3-603d-4619-b9a3-e6c87e1a1679.jpeg,OTHER
Diamond jewelry ironically featuring the “infinity” design please note the bracelet says “I <3 U (infinity)” gross. I have thought about donating or selling these in the past but I feel bad for the girlfriend who will get these second hand keeping them in a dusty box in the back of my closet feels like a public service to other women. ,https://media.rtm.com/thegreatexchange/large/344421c9-275c-4104-9067-ba221be299d3.jpeg,https://media.rtm.com/thegreatexchange/large/344421c9-275c-4104-9067-ba221be299d3.jpeg,JEWELARY
I got this necklace from a boy I loved. We dated straight out of high school we didn’t last long. I snuck it in his jacket when I was returning his things. Years later we got back together we couldn’t stay away from each other. He gave it to me again as a Christmas present. He broke up with me the day before my birthday 6 months later. Now I can’t get rid of it in hopes maybe he’ll be back. ,https://media.rtm.com/thegreatexchange/large/fcecbda5-533b-42ad-91df-7c7347919bf2.jpeg,https://media.rtm.com/thegreatexchange/large/fcecbda5-533b-42ad-91df-7c7347919bf2.jpeg,BIRTHDAY
My long-term ex was Canadian and got me this classic Roots sweater for Christmas one year. But now anytime I wear it people always ask if I’m Canadian because it has moose maple leaves and pine trees all over the front and back. I then have to explain that my ex was and I’m not. It always sounds like I’m making up a fake ex-boyfriend that lives in Canada like in movies lol,https://media.rtm.com/thegreatexchange/large/366866c8-3406-42ca-9984-0c928684820c.jpeg,https://media.rtm.com/thegreatexchange/large/366866c8-3406-42ca-9984-0c928684820c.jpeg,CHRISTMAS
I got this book from an ex!  He knew i loved to read and that I loved this author. It was actually really sweet but he cheated on me so we don’t care! Still kept the book though! ,https://media.rtm.com/thegreatexchange/large/61c30d50-8371-42ce-8e1d-86b9160fb7e5.jpeg,https://media.rtm.com/thegreatexchange/large/61c30d50-8371-42ce-8e1d-86b9160fb7e5.jpeg,CHEATED
My ex dumped me and left her shoes at my house. I would never wear these shoes but I feel bad throwing them away. ,https://media.rtm.com/thegreatexchange/large/484e3d42-ceec-488b-80a1-4b3b5c113a20.jpeg,https://media.rtm.com/thegreatexchange/large/484e3d42-ceec-488b-80a1-4b3b5c113a20.jpeg,FOOT WEAR
My ex gave me this flask. Probably to deal with their behavior. It’s still in a drawer and will probably stay there for awhile. Oh well ,https://media.rtm.com/thegreatexchange/large/0007d4ba-ce05-4e3c-bc8d-43c2aa45b2cf.jpeg,https://media.rtm.com/thegreatexchange/large/0007d4ba-ce05-4e3c-bc8d-43c2aa45b2cf.jpeg,GIFT
My ex and I took a trip to Bali and this is the only thing that I have left to get rid of hers. I hold on to it because it is a reminder of the beautiful trip but I think it’s finally time to let go.,https://media.rtm.com/thegreatexchange/large/2d5d8d83-21f4-48ce-8ea4-a7bace68f505.jpeg,https://media.rtm.com/thegreatexchange/large/2d5d8d83-21f4-48ce-8ea4-a7bace68f505.jpeg,TRIP
My ex and I were together for 3 years before he cheated on me. This was a painting that we made at a sip and paint two months into dating and it has been laying on my ground ever since he told me he cheated. I wish I could remove the memories associated with the painting because I’m a damn good painter,https://media.rtm.com/thegreatexchange/large/97520444-f8f6-4cfa-ad72-92b88d2de7a6.jpeg,https://media.rtm.com/thegreatexchange/large/97520444-f8f6-4cfa-ad72-92b88d2de7a6.jpeg,CHEATED
While he had money to spend on absolutely everything and everyone  else I simply received a tea pot for Christmas. While making tea isn’t hard waiting for his love to boil over towards me was tea-dious. It was about a week after this Christmas that the tea steeped too long and we par-tea-d ways. ,https://media.rtm.com/thegreatexchange/large/5c77834c-a0cc-4e31-8ae3-a69f40ec6759.jpeg,https://media.rtm.com/thegreatexchange/large/5c77834c-a0cc-4e31-8ae3-a69f40ec6759.jpeg,CHRISTMAS
